,teamname1,teamname2,kill1,kill2,baronkill1,baronkill2,death1,death2,dragonkills1,dragonkills2,golds1,golds2,assists1,assists2,towerkills1,towerkills2,team_1_win,team_2_win,name_1_country,name_2_country,scheduleid,game_date,winner,team_1_mark,team_2_mark
62,MYM,GMB,18,5.0,1.0,0.0,5,18.0,3.0,2.0,70949,50548.0,45,13.0,10.0,0.0,1,0,PL,RU,668,2014-07-26,MYM,1.0,0.0
63,ALL,CW,29,2.0,1.0,0.0,2,29.0,3.0,0.0,58702,34500.0,80,4.0,10.0,2.0,1,0,EU,DK,669,2014-07-26,ALL,1.0,0.0
64,GMB,CW,20,8.0,1.0,0.0,8,20.0,4.0,1.0,81391,61078.0,54,18.0,9.0,3.0,1,0,RU,DK,670,2014-07-29,GMB,1.0,0.0
65,DIG,C9,11,2.0,1.0,0.0,2,11.0,3.0,0.0,51873,42097.0,24,5.0,9.0,5.0,1,0,US,US,247,2014-05-25,DIG,1.0,0.0
66,C9,WFX,16,2.0,1.0,0.0,2,16.0,4.0,0.0,57982,37099.0,46,5.0,11.0,1.0,1,0,US,US,413,2015-03-02,C9,1.0,0.0
67,TDK,TL,10,23.0,0.0,3.0,23,10.0,1.0,4.0,64660,81043.0,25,51.0,3.0,11.0,0,1,US,US,1961,2015-05-31,TL,0.0,1.0
68,P1,TSM,21,11.0,0.0,0.0,11,21.0,3.0,1.0,71221,64084.0,65,26.0,8.0,4.0,1,0,US,US,414,2015-03-02,P1,1.0,0.0
69,S04,CW,19,10.0,1.0,0.0,10,19.0,1.0,3.0,66798,52157.0,42,14.0,10.0,4.0,1,0,EU,DK,713,2015-01-30,S04,1.0,0.0
70,ALL,SK,1,17.0,0.0,1.0,17,1.0,0.0,5.0,57405,76786.0,1,42.0,5.0,9.0,0,1,EU,EU,517,2014-03-01,SK,0.0,1.0
71,XDG,C9,22,18.0,2.0,1.0,18,22.0,3.0,4.0,89673,78323.0,47,30.0,11.0,5.0,1,0,US,US,175,2014-03-02,XDG,1.0,0.0
72,CLB,CRS,11,19.0,3.0,1.0,19,11.0,7.0,1.0,129459,120433.0,29,47.0,11.0,8.0,1,0,US,US,312,2014-07-13,CLB,1.0,0.0
73,CLG,DIG,16,3.0,1.0,0.0,3,16.0,2.0,1.0,56835,40643.0,45,8.0,10.0,0.0,1,0,US,US,1962,2015-05-31,CLG,1.0,0.0
74,GIA,SK,17,8.0,1.0,0.0,8,17.0,2.0,2.0,62863,49529.0,34,19.0,9.0,3.0,1,0,EU,EU,2206,2015-06-06,GIA,1.0,0.0
75,CLG,CRS,13,10.0,0.0,2.0,10,13.0,4.0,2.0,85029,76411.0,40,29.0,10.0,7.0,1,0,US,US,176,2014-03-02,CLG,1.0,0.0
76,CST,TSM,7,25.0,0.0,2.0,25,7.0,0.0,5.0,55867,82792.0,16,63.0,3.0,11.0,0,1,US,US,184,2014-03-08,TSM,0.0,1.0
77,GMB,FNC,16,26.0,0.0,2.0,26,17.0,2.0,3.0,65229,78535.0,33,54.0,5.0,11.0,0,1,RU,EU,714,2015-01-31,FNC,0.0,1.0
78,LMQ,DIG,21,5.0,1.0,0.0,5,21.0,2.0,1.0,51746,33551.0,44,14.0,9.0,1.0,1,0,US,US,313,2014-07-13,LMQ,1.0,0.0
79,RG,OG,1,15.0,0.0,1.0,15,1.0,0.0,3.0,33246,52109.0,1,34.0,1.0,9.0,0,1,GB,EU,842,2015-02-26,OG,0.0,1.0
80,T8,P1,8,22.0,0.0,2.0,22,8.0,1.0,3.0,45248,67214.0,18,69.0,2.0,9.0,0,1,US,US,1963,2015-05-31,P1,0.0,1.0
81,MIL,SK,12,22.0,0.0,1.0,22,12.0,1.0,2.0,40338,54628.0,25,68.0,3.0,9.0,0,1,EU,EU,672,2014-07-30,SK,0.0,1.0
82,MYM,ROC,20,10.0,1.0,0.0,10,20.0,4.0,0.0,68078,52042.0,43,30.0,10.0,3.0,1,0,PL,EU,518,2014-03-01,MYM,1.0,0.0
83,GV,T8,21,4.0,1.0,0.0,5,21.0,5.0,0.0,63906,47485.0,48,9.0,10.0,3.0,1,0,US,US,445,2015-03-30,GV,1.0,0.0
84,C9,GV,8,22.0,1.0,1.0,23,8.0,0.0,4.0,59649,70562.0,24,54.0,6.0,11.0,0,1,US,US,365,2015-01-26,GV,0.0,1.0
85,CST,TSM,6,13.0,0.0,0.0,13,6.0,0.0,0.0,31868,50937.0,7,30.0,0.0,0.0,0,1,US,US,30,2013-02-28,TSM,0.0,1.0
86,Team MRN,CRS,11,23.0,0.0,0.0,23,11.0,0.0,0.0,51076,66610.0,34,63.0,0.0,0.0,0,1,US,US,101,2013-04-19,CRS,0.0,1.0
87,UOL,ROC,17,21.0,0.0,3.0,21,17.0,3.0,3.0,83362,89955.0,45,45.0,8.0,7.0,1,0,EU,EU,2207,2015-06-06,UOL,1.0,0.0
88,XDG,CST,16,9.0,0.0,0.0,9,16.0,0.0,0.0,61780,46086.0,43,26.0,0.0,0.0,1,0,US,US,102,2013-04-19,XDG,1.0,0.0
89,DIG,XDG,16,7.0,0.0,0.0,7,16.0,0.0,0.0,56674,42825.0,40,12.0,0.0,0.0,1,0,US,US,31,2013-02-28,DIG,1.0,0.0
90,CLB,LMQ,11,11.0,1.0,0.0,11,11.0,3.0,3.0,76748,73311.0,22,30.0,6.0,6.0,0,1,US,US,314,2014-07-14,LMQ,0.0,1.0
91,DEU,OG,6,15.0,0.0,1.0,15,6.0,0.0,4.0,44653,60377.0,12,31.0,2.0,9.0,0,1,,EU,843,2015-03-04,OG,0.0,1.0
92,DIG,CST,20,10.0,1.0,1.0,10,20.0,3.0,3.0,81984,75399.0,29,24.0,9.0,6.0,1,0,US,US,417,2015-03-08,DIG,1.0,0.0
93,CST,EG,18,4.0,1.0,0.0,4,18.0,2.0,2.0,57685,42135.0,45,3.0,10.0,3.0,1,0,US,US,178,2014-03-02,CST,1.0,0.0
94,CLG,XDG,14,7.0,0.0,0.0,7,14.0,0.0,0.0,59932,54031.0,46,17.0,0.0,0.0,1,0,US,US,104,2013-04-19,CLG,1.0,0.0
95,OMG,RNG,17,9.0,0.0,0.0,10,17.0,3.0,1.0,56270,49018.0,59,16.0,7.0,3.0,2,0,CN,CN,2432,2015-05-29,OMG,1.0,0.0
96,GIA,H2K,3,17.0,0.0,1.0,17,3.0,0.0,3.0,35452,52010.0,3,42.0,1.0,10.0,0,1,EU,EU,715,2015-01-31,H2K,0.0,1.0
97,Team MRN,DIG,9,21.0,0.0,0.0,21,9.0,0.0,0.0,43707,61685.0,18,50.0,0.0,0.0,0,1,US,US,73,2013-04-01,DIG,0.0,1.0
98,C9,TSM,14,3.0,1.0,0.0,3,14.0,2.0,1.0,51574,35240.0,25,6.0,9.0,1.0,1,0,US,US,179,2014-03-03,C9,1.0,0.0
99,ALL,FNC,14,6.0,0.0,0.0,6,14.0,0.0,0.0,55300,38000.0,35,13.0,0.0,0.0,1,0,EU,EU,2122,2013-07-19,ALL,1.0,0.0
100,Team MRN,CLG,20,14.0,0.0,0.0,14,20.0,0.0,0.0,69704,60617.0,56,38.0,0.0,0.0,1,0,US,US,105,2013-04-20,Team MRN,1.0,0.0
101,RG,G2,28,8.0,1.0,0.0,8,28.0,3.0,1.0,62427,43609.0,60,21.0,10.0,1.0,1,0,GB,EU,844,2015-03-04,RG,1.0,0.0
102,NME,F5,19,13.0,0.0,1.0,13,20.0,5.0,2.0,79516,69589.0,47,20.0,10.0,3.0,2,0,US,US,827,2015-04-02,NME,1.0,0.0
103,GV,NME,21,22.0,1.0,0.0,23,21.0,0.0,4.0,70555,71230.0,60,60.0,6.0,7.0,0,1,US,US,1964,2015-05-31,NME,0.0,1.0
104,CRS,COW,15,23.0,0.0,0.0,23,15.0,0.0,0.0,67787,76689.0,35,62.0,0.0,0.0,0,1,US,US,106,2013-04-20,COW,0.0,1.0
105,ALL,MIL,16,27.0,0.0,2.0,27,16.0,2.0,5.0,75080,91765.0,33,66.0,4.0,11.0,0,1,EU,EU,556,2014-04-02,MIL,0.0,1.0
106,DIG,XDG,11,17.0,0.0,0.0,17,11.0,0.0,0.0,56696,62672.0,29,48.0,0.0,0.0,0,1,US,US,108,2013-04-20,XDG,0.0,1.0
107,GMB,Lemondogs,23,6.0,0.0,0.0,6,23.0,0.0,0.0,69900,50700.0,60,11.0,0.0,0.0,1,0,RU,EU,2123,2013-07-19,GMB,1.0,0.0
108,XDG,CLG,2,13.0,0.0,1.0,13,2.0,0.0,3.0,33060,51846.0,2,35.0,0.0,11.0,0,1,US,US,181,2014-03-03,CLG,0.0,1.0
109,S04,ROC,22,14.0,2.0,2.0,14,22.0,4.0,5.0,102073,95468.0,67,38.0,10.0,8.0,1,0,EU,EU,716,2015-01-31,S04,1.0,0.0
110,CWA,MS,20,11.0,1.0,0.0,11,20.0,3.0,2.0,68065,51348.0,47,19.0,11.0,3.0,1,0,DK,EU,845,2015-03-04,CWA,1.0,0.0
111,CLB,LMQ,6,22.0,0.0,1.0,22,6.0,0.0,3.0,38762,57988.0,11,51.0,2.0,9.0,0,1,US,US,244,2014-05-25,LMQ,0.0,1.0
112,Team ALTERNATE,NIP,1,11.0,0.0,0.0,11,1.0,0.0,0.0,40100,52100.0,1,29.0,0.0,0.0,0,1,PL,EU,2124,2013-07-19,NIP,0.0,1.0
113,ROC,SK,2,8.0,0.0,1.0,8,2.0,0.0,6.0,51506,71572.0,5,16.0,2.0,10.0,0,1,EU,EU,593,2014-05-30,SK,0.0,1.0
114,CRS,CST,12,23.0,0.0,2.0,23,12.0,0.0,5.0,56348,74212.0,21,60.0,5.0,11.0,0,1,US,US,182,2014-03-03,CST,0.0,1.0
115,EG,CLG,9,7.0,0.0,0.0,7,9.0,2.0,0.0,38890,42328.0,17,10.0,2.0,8.0,0,1,US,US,248,2014-05-25,CLG,0.0,1.0
116,CST,CLG,15,9.0,0.0,0.0,9,15.0,0.0,0.0,51227,50737.0,28,24.0,0.0,0.0,1,0,US,US,109,2013-04-20,CST,1.0,0.0
117,MS,FNC,9,24.0,0.0,0.0,24,9.0,0.0,0.0,40200,56600.0,18,62.0,0.0,0.0,0,1,EU,EU,2125,2013-07-20,FNC,0.0,1.0
118,DIG,CLG,5,11.0,0.0,1.0,11,5.0,1.0,3.0,42031,54175.0,10,25.0,5.0,11.0,0,1,US,US,315,2014-07-14,CLG,0.0,1.0
119,OG,DEU,29,8.0,0.0,0.0,8,29.0,3.0,0.0,56099,38360.0,64,16.0,9.0,2.0,1,0,EU,,846,2015-03-05,OG,1.0,0.0
120,CLG,DIG,9,18.0,0.0,2.0,18,9.0,0.0,5.0,57159,76654.0,20,55.0,4.0,9.0,0,1,US,US,338,2014-08-02,DIG,0.0,1.0
121,SK,UOL,22,11.0,1.0,0.0,11,22.0,4.0,0.0,69775,55378.0,46,30.0,10.0,6.0,1,0,EU,EU,717,2015-01-31,SK,1.0,0.0
122,COW,Team MRN,5,25.0,0.0,0.0,25,5.0,0.0,0.0,37828,57824.0,6,49.0,0.0,0.0,0,1,US,US,111,2013-04-20,Team MRN,0.0,1.0
123,LMQ,CRS,11,5.0,2.0,0.0,5,11.0,3.0,3.0,79508,67010.0,22,12.0,10.0,6.0,1,0,US,US,249,2014-05-26,LMQ,1.0,0.0
124,GMB,ROC,10,4.0,0.0,0.0,4,10.0,3.0,0.0,45274,31453.0,21,8.0,11.0,1.0,1,0,RU,EU,557,2014-04-03,GMB,1.0,0.0
125,XDG,C9,13,2.0,0.0,0.0,2,13.0,0.0,0.0,55006,34708.0,27,1.0,0.0,0.0,1,0,US,US,1926,2013-08-15,XDG,1.0,0.0
126,XDG,CRS,21,17.0,0.0,0.0,17,21.0,0.0,0.0,68233,50001.0,46,28.0,0.0,0.0,1,0,US,US,112,2013-04-20,XDG,1.0,0.0
127,TL,T8,22,15.0,2.0,0.0,15,22.0,2.0,2.0,73509,64921.0,63,37.0,11.0,5.0,1,0,US,US,1965,2015-06-01,TL,1.0,0.0
128,C9,CLB,12,14.0,0.0,1.0,14,12.0,3.0,3.0,74257,73003.0,28,35.0,9.0,9.0,0,1,US,US,250,2014-05-26,CLB,0.0,1.0
129,CST,DIG,8,12.0,0.0,3.0,12,8.0,3.0,2.0,64503,77222.0,19,27.0,7.0,11.0,0,1,US,US,187,2014-03-08,DIG,0.0,1.0
130,CST,DIG,7,16.0,0.0,0.0,16,7.0,0.0,0.0,37797,54458.0,14,23.0,0.0,0.0,0,1,US,US,35,2013-02-28,DIG,0.0,1.0
131,MYM,CW,17,9.0,1.0,0.0,9,17.0,2.0,3.0,74061,64791.0,44,14.0,9.0,5.0,1,0,PL,DK,718,2015-01-31,MYM,1.0,0.0
132,TSM,CLG,16,5.0,1.0,0.0,5,17.0,1.0,2.0,46608,33561.0,45,12.0,9.0,1.0,1,0,US,US,188,2014-03-09,TSM,1.0,0.0
133,NIP,Lemondogs,7,11.0,0.0,0.0,11,7.0,0.0,0.0,52200,68100.0,26,31.0,0.0,0.0,0,1,EU,EU,2126,2013-07-20,Lemondogs,0.0,1.0
134,TSM,CST,12,4.0,0.0,0.0,4,12.0,0.0,0.0,53422,39082.0,36,9.0,0.0,0.0,1,0,US,US,1927,2013-08-15,TSM,1.0,0.0
135,T8,TL,16,23.0,1.0,0.0,23,16.0,3.0,3.0,70773,75586.0,39,70.0,4.0,8.0,0,1,US,US,447,2015-03-30,TL,0.0,1.0
136,CRS,EG,12,16.0,0.0,3.0,16,13.0,1.0,5.0,73721,92780.0,35,46.0,5.0,10.0,0,1,US,US,316,2014-07-14,EG,0.0,1.0
137,Team ALTERNATE,ALL,27,22.0,0.0,0.0,22,27.0,0.0,0.0,55000,46300.0,60,50.0,0.0,0.0,1,0,PL,EU,2127,2013-07-20,Team ALTERNATE,1.0,0.0
138,H2K,SK,10,16.0,0.0,2.0,16,10.0,1.0,3.0,58627,69720.0,17,38.0,4.0,9.0,0,1,EU,EU,719,2015-02-06,SK,0.0,1.0
139,GV,DIG,5,4.0,1.0,0.0,4,5.0,5.0,1.0,82454,68343.0,13,9.0,11.0,7.0,1,0,US,US,367,2015-02-01,GV,1.0,0.0
140,IMiracle,KT,1,15.0,0.0,1.0,15,2.0,1.0,3.0,44213,60297.0,1,49.0,1.0,9.0,0,2,KR,KR,915,2015-04-04,KT,0.0,1.0
141,SK,GMB,30,10.0,0.0,0.0,10,30.0,0.0,0.0,81300,65300.0,75,14.0,0.0,0.0,1,0,EU,RU,2128,2013-07-20,SK,1.0,0.0
142,TSM,CLB,10,1.0,1.0,0.0,1,10.0,2.0,0.0,52419,35350.0,28,1.0,9.0,0.0,1,0,US,US,308,2014-07-07,TSM,1.0,0.0
143,G2,RG,24,12.0,1.0,0.0,14,24.0,2.0,0.0,56276,42970.0,56,16.0,11.0,2.0,1,0,EU,GB,847,2015-03-05,G2,1.0,0.0
144,C9,CLG,12,6.0,1.0,0.0,6,12.0,1.0,2.0,49768,39877.0,38,14.0,8.0,3.0,1,0,US,US,448,2015-03-30,C9,1.0,0.0
145,CW,FNC,11,24.0,0.0,1.0,24,11.0,2.0,2.0,61965,76692.0,29,57.0,4.0,9.0,0,1,DK,EU,673,2014-07-30,FNC,0.0,1.0
146,MYM,SK,6,12.0,0.0,1.0,12,6.0,4.0,2.0,58369,64285.0,17,40.0,5.0,8.0,0,1,PL,EU,558,2014-04-03,SK,0.0,1.0
