teamname1,teamname2,kills1,kills2,baronkills1,baronkills2,death1,death2,dragonkills1,dragonkills2,golds1,golds2,assists1,assists2,towerkills1,towerkills2,scheduleid
C9,TDK,20,8,1,0,8,20,4,0,66864,54185,46,19,8,3,2003
AS,MSE,5,11,0,1,11,5,0,5,49169,60611,11,16,2,10,4834
C9,TSM,5,13,1,0,13,5,1,1,49436,52724,8,36,7,10,13614
OMG,PE,24,5,0,0,5,24,0,0,50700,31500,69,19,9,1,14104
RYL,LM,11,18,0,0,18,11,0,0,46100,55200,14,36,4,8,14105
WE,IG,13,18,0,0,18,13,0,0,43400,53500,28,52,4,8,14106
TL,NRG,20,7,1,0,7,20,2,1,70047,52521,65,18,9,1,13615
WE,LM,20,6,0,0,6,20,0,0,64500,48200,37,6,9,4,14107
RYL,WOA,20,3,0,0,3,20,0,0,45100,27700,42,8,9,1,14108
CLG,FOX,7,2,1,0,2,7,3,0,62674,47513,13,4,10,2,14012
Wayi,PE,6,23,0,0,23,6,0,0,34300,52500,14,41,1,8,14109
IG,OMG,10,19,0,0,19,10,0,0,51900,61700,19,56,4,10,14110
WE,WOA,38,7,0,0,7,38,0,0,46200,31500,59,9,5,2,14111
RYL,PE,19,24,0,0,24,19,0,0,72000,84700,54,57,6,11,14112
IG,Wayi,24,6,0,0,6,24,0,0,52300,33300,58,11,10,1,14113
OMG,LM,17,8,0,0,8,17,0,0,55800,41900,47,16,10,3,14114
IMT,REN,16,5,0,0,5,16,2,0,57996,44354,33,11,10,3,13616
LM,WOA,14,23,0,0,23,14,0,0,47500,58300,33,63,3,9,14115
KT,SBE,16,5,1,0,5,16,4,0,69703,56601,32,8,8,2,13868
JAG,Anarchy,2,13,0,2,13,2,2,2,53992,70392,4,44,2,9,11065
LMQTC,EP,16,9,0,0,9,16,0,0,53900,48000,34,18,6,3,14268
OMG,IG,15,28,0,0,28,15,0,0,51300,63800,27,65,3,10,14269
PE,WE,4,24,0,0,24,4,0,0,32100,47200,8,56,0,7,14270
OMG,WE,15,18,0,0,18,15,0,0,83400,70600,38,50,10,4,14271
IG,PE,21,10,0,0,10,21,0,0,60700,50300,55,12,11,6,14117
WE,RYL,22,12,0,0,12,22,0,0,84700,76600,72,39,11,4,14118
RYL,OMG,26,9,0,0,9,26,0,0,65600,52500,76,20,11,2,14119
PE,LM,25,5,0,0,5,25,0,0,55300,34300,61,13,9,0,14120
IG,WOA,37,8,0,0,8,37,0,0,56800,32600,65,21,10,0,14121
WE,Wayi,24,3,0,0,3,24,0,0,48000,29200,41,7,10,2,14122
WE,OMG,25,12,0,0,12,25,0,0,69900,57200,69,20,9,4,14123
GIA,UOL,11,19,0,2,19,11,0,3,61838,76752,25,35,4,11,13688
RYL,Wayi,29,11,0,0,11,29,0,0,53100,32700,79,32,10,2,14124
PE,WOA,19,7,0,0,7,19,0,0,40000,24800,46,15,10,0,14125
IG,LM,37,16,0,0,16,37,0,0,56700,47200,37,26,8,3,14126
VIT,FNC,10,3,1,0,3,10,3,0,53905,41448,22,2,11,2,13689
OMG,WOA,20,4,0,0,4,20,0,0,63300,40000,43,8,11,1,14128
WE,PE,21,4,0,0,4,21,0,0,55800,37800,55,9,10,1,14129
RYL,EP,29,39,0,0,39,29,0,0,75500,82400,56,86,7,11,14273
IG,RYL,8,19,0,0,19,8,0,0,32600,40200,16,51,1,7,14130
LMQTC,YG,21,24,0,0,24,21,0,0,61600,72300,48,54,4,9,14274
OMG,RYL,5,16,0,0,16,5,0,0,32700,44700,6,37,2,11,14275
Wayi,WOA,18,16,0,0,16,18,0,0,56600,49500,52,37,7,5,14131
PE,LMQTC,24,22,0,0,22,24,0,0,73900,67400,53,61,7,8,14276
OMG,PE,6,23,0,0,23,6,0,0,48900,63900,11,54,3,8,14132
H2K,OG,16,6,1,0,6,16,1,2,56389,42703,42,16,10,2,13690
IG,YG,30,36,0,0,36,30,0,0,71500,75600,62,92,9,8,14277
RYL,LM,29,6,0,0,6,29,0,0,48800,32800,61,9,11,2,14133
WE,EP,25,4,0,0,4,25,0,0,55500,35700,62,10,10,3,14278
OMG,LMQTC,16,8,0,0,8,16,0,0,60400,43900,25,23,10,3,14279
G2,ROC,18,10,1,0,10,18,1,1,48431,39968,43,22,10,4,13691
PE,EP,21,4,0,0,4,21,0,0,49800,32500,42,10,9,0,14284
IG,RYL,10,22,0,0,22,10,0,0,43800,59400,26,52,0,10,14285
WE,IG,9,8,0,0,8,9,0,0,62800,62900,29,23,6,10,14134
PE,YG,32,29,0,0,29,32,0,0,61100,50100,73,67,8,4,14280
WE,LM,17,19,0,0,19,17,0,0,57600,60900,23,45,7,9,14135
IG,EP,24,6,0,0,6,24,0,0,48500,28900,39,17,11,2,14281
RYL,WOA,32,30,0,0,30,32,0,0,66100,58000,77,81,10,3,14136
Wayi,PE,9,28,0,0,28,9,0,0,29500,51700,17,58,1,9,14137
WE,RYL,11,22,0,0,22,11,0,0,43600,61400,30,48,2,10,14282
IG,OMG,12,23,0,0,23,12,0,0,56400,76800,27,60,3,10,14138
OMG,YG,16,11,0,0,11,16,0,0,50500,39500,33,21,7,3,14283
WE,WOA,25,10,0,0,10,25,0,0,61400,42900,75,25,10,1,14139
WE,LMQTC,22,3,0,0,3,22,0,0,61600,44700,49,4,11,6,14286
RYL,PE,11,24,0,0,24,11,0,0,51900,67700,28,47,3,9,14140
OMG,EP,29,34,0,0,34,29,0,0,82800,77400,62,86,9,1,14287
DIG,C9,9,9,0,1,9,9,1,2,49739,57750,15,27,3,7,13619
FOX,IMT,1,13,0,0,13,1,0,1,26691,42487,2,21,1,8,13620
PE,RYL,36,9,0,0,9,36,0,0,53300,35000,87,11,10,2,14288
IG,LMQTC,11,19,0,0,19,11,0,0,56400,34700,23,41,11,0,14289
WE,YG,27,9,0,0,9,27,0,0,66300,49300,56,26,11,4,14290
IG,Wayi,41,11,0,0,11,41,0,0,53600,30200,68,16,8,0,14141
CLG,REN,14,4,1,0,4,14,3,0,76674,63353,44,12,9,2,13621
OMG,LM,22,3,0,0,3,22,0,0,48200,26400,45,8,9,0,14142
SPY,S04,7,15,0,1,15,7,0,3,53079,58661,17,36,5,9,13987
TSM,CLG,15,27,0,1,27,15,2,2,48121,63677,37,74,3,9,12154
LM,WOA,14,10,0,0,10,14,0,0,55100,41900,44,27,7,3,14143
HKE,MSE,11,25,1,1,25,11,1,4,59929,69027,23,57,5,7,4838
LM,WOA,16,26,0,0,26,16,0,0,72100,80300,39,62,4,11,14171
OMG,Wayi,24,5,0,0,5,24,0,0,46000,27900,55,8,10,1,14172
IG,PE,21,6,0,0,6,21,0,0,51400,41800,48,12,7,2,14173
NRG,DIG,8,2,1,0,2,8,2,1,50049,40286,23,7,10,4,13642
CW,UOL,4,19,0,1,19,4,0,4,51083,64989,14,53,3,11,2252
WE,RYL,20,27,0,0,27,20,0,0,70800,76000,55,69,10,7,14174
IG,WOA,23,7,0,0,7,23,0,0,58600,39000,63,20,10,3,14175
WE,Wayi,25,15,0,0,15,25,0,0,78200,62200,65,39,9,3,14178
OG,GIA,17,5,1,0,5,17,1,2,53177,41233,33,7,10,3,2250
RYL,OMG,5,8,0,0,8,5,0,0,39600,45500,7,22,3,8,14176
H2K,FNC,9,18,0,2,18,9,4,0,55314,67065,23,47,5,10,2253
AFs,SSG,12,20,0,1,20,12,4,1,75332,80161,25,58,5,8,13870
ROC,S04,9,13,1,1,13,9,2,3,66556,75132,23,33,6,9,2254
ROX,Anarchy,13,6,2,0,6,13,4,0,69453,57111,40,15,10,2,11051
PE,LM,22,6,0,0,6,22,0,0,53900,36500,46,10,10,1,14177
IG,LM,33,11,0,0,11,33,0,0,61100,47800,81,24,9,4,14181
LM,Wayi,21,20,0,0,20,21,0,0,78600,67400,63,47,9,6,14153
CLG,P1,14,4,1,0,4,14,3,0,54305,38394,38,13,11,3,13645
WE,OMG,4,9,0,0,9,4,0,0,32800,49300,10,21,0,11,14152
