teamname1,teamname2,kills1,kills2,baronkills1,baronkills2,death1,death2,dragonkills1,dragonkills2,golds1,golds2,assists1,assists2,towerkills1,towerkills2,scheduleid
DIG,CLG,5,14,0,1,14,5,1,3,45936,63273,14,42,2,11,400
CLG,TSM,5,18,0,0,18,6,0,0,28912,38957,11,35,0,0,61
Team MRN,CST,10,22,0,0,22,10,0,0,45022,57860,22,72,0,0,83
CRS,XDG,14,6,0,0,6,14,0,0,57382,43033,38,15,0,0,84
DIG,COW,30,18,0,0,18,30,0,0,73321,59125,61,50,0,0,64
KT,KDM,12,19,0,2,19,12,0,6,66811,81398,33,47,3,11,897
C9,CLG,15,11,2,0,11,15,3,3,73204,66067,46,35,10,5,402
CLB,DIG,3,23,0,1,23,3,1,3,41206,63514,5,48,3,10,241
TSM,CLG,13,6,0,0,6,13,0,0,58418,49269,34,14,0,0,65
KT,KDM,14,20,0,1,20,14,2,5,73132,84153,32,51,3,10,897
TL,TSM,23,21,2,0,21,23,7,0,91351,89390,48,61,11,3,403
CRS,Team MRN,20,3,0,0,3,20,0,0,54770,36005,54,11,0,0,85
DIG,CLG,1,7,0,0,7,1,0,0,30641,45256,1,20,0,0,86
DIG,EG,16,15,2,1,15,16,4,2,83842,73665,31,33,9,6,245
CST,T8,9,20,0,1,20,9,1,2,46716,62016,22,45,3,11,405
SSG,ROX,14,16,1,1,17,14,2,3,80788,83151,34,35,8,10,898
COW,CRS,17,23,0,0,23,17,0,0,65916,70164,38,63,0,0,87
CST,Team MRN,16,8,0,0,8,16,0,0,47494,43289,47,19,0,0,88
P1,GV,14,5,0,0,5,14,3,0,53115,38082,45,12,10,0,406
SSG,ROX,5,15,0,1,15,5,1,3,49248,64915,10,29,2,9,898
CST,DIG,20,15,0,0,15,20,0,0,61694,58494,55,32,0,0,89
CLG,Team MRN,8,18,0,0,18,8,0,0,43053,61077,19,56,0,0,90
CST,C9,3,10,0,1,10,3,2,2,45161,59033,6,29,3,10,407
KDM,CJE,11,29,2,1,29,11,4,3,95810,104773,25,81,6,11,899
T8,P1,18,11,1,2,11,18,1,4,80724,77904,38,34,8,8,408
KDM,CJE,8,19,0,1,19,8,0,4,49952,64017,19,43,2,11,899
SK,MIL,22,10,0,0,10,22,0,2,52382,42354,44,24,11,2,692
SKT,KT,9,3,1,0,3,9,4,1,69171,56574,27,6,9,2,900
COW,DIG,17,8,0,0,9,17,0,0,64928,51970,51,20,0,0,93
COW,CST,14,6,0,0,6,14,0,0,58828,45422,44,21,0,0,95
SK,MIL,18,11,0,1,11,18,4,0,70639,56585,39,28,9,2,692
CRS,CST,13,10,0,0,10,13,0,0,75210,82301,36,30,0,0,97
CLG,DIG,12,0,0,0,0,12,0,0,57668,39268,31,0,0,0,98
MYM,ROC,15,11,2,2,11,15,5,4,110053,100425,37,24,10,8,693
SKT,KT,23,6,1,0,6,23,4,1,73094,53018,53,15,11,3,900
TL,GV,13,3,1,0,3,13,3,0,58085,40123,28,4,10,0,409
MYM,ROC,8,17,1,1,17,8,1,4,59281,71317,20,57,3,9,693
CLG,WFX,15,3,1,0,3,15,3,1,54369,34981,50,11,11,0,411
JAG,ROX,15,15,0,2,15,15,3,2,70041,76785,31,42,5,8,901
