scheduleid,name_1,name_2,name_1_win,name_2_win,name_1_country,name_2_country
22831,SSG,KDM,2,0,KR,KR
22826,BBQ,KDM,2,0,KR,KR
22824,KDM,LZ,0,2,KR,KR
22819,KDM,SKT,0,2,KR,KR
22815,ROX,KDM,2,1,KR,KR
22592,SSG,KDM,3,1,KR,KR
22591,KDM,IMT,2,1,KR,US
22521,KDM,DP,1,0,KR,TR
21870,KDM,ROX,1,3,KR,KR
21868,KDM,BBQ,2,0,KR,KR
21864,KDM,KT,2,1,KR,KR
21857,KSL,KDM,0,2,KR,KR
14684,KT,KDM,2,1,KR,KR
14681,KDM,SSG,1,2,KR,KR
14673,KDM,SKT,0,2,KR,KR
14666,KDM,ROX,0,2,KR,KR
14660,KDM,SBE,0,2,KR,KR
14655,AFs,KDM,2,1,KR,KR
14651,JAG,KDM,2,0,KR,KR
14646,LZ,KDM,2,0,KR,KR
14642,KDM,CJE,1,2,KR,KR
13908,CJE,KDM,2,1,KR,KR
13901,KDM,AFs,0,2,KR,KR
13895,ROX,KDM,2,0,KR,KR
13893,KDM,LZ,0,2,KR,KR
13888,KDM,KT,0,2,KR,KR
13884,SKT,KDM,2,1,KR,KR
13878,SBE,KDM,1,2,KR,KR
13873,KDM,JAG,0,2,KR,KR
13867,SSG,KDM,2,0,KR,KR
12762,KDM,Anarchy,1,2,KR,
12335,JAG,KDM,3,0,KR,KR
12295,ROX,KDM,2,1,KR,KR
11071,KDM,SKT,1,2,KR,KR
11068,SBE,KDM,0,2,KR,KR
11060,KDM,SSG,2,0,KR,KR
11055,ROX,KDM,1,2,KR,KR
11047,IMiracle,KDM,1,2,KR,KR
11044,CJE,KDM,2,1,KR,KR
11041,KDM,Anarchy,2,1,KR,
11036,KDM,JAG,1,2,KR,KR
11031,KDM,KT,0,2,KR,KR
2408,KDM,KT,2,0,KR,KR
2405,JAG,KDM,2,0,KR,KR
2399,CJE,KDM,1,2,KR,KR
2391,KDM,SSG,2,0,KR,KR
2381,KDM,IMiracle,2,0,KR,KR
2375,KDM,SKT,0,2,KR,KR
2371,ROX,KDM,1,2,KR,KR
2365,Anarchy,KDM,2,1,,KR
920,SSG,KDM,2,1,KR,KR
913,ROX,KDM,2,0,KR,KR
911,KDM,IMiracle,2,0,KR,KR
904,KDM,JAG,0,2,KR,KR
899,KDM,CJE,0,2,KR,KR
897,KT,KDM,0,2,KR,KR
893,SKT,KDM,2,1,KR,KR
891,KDM,SSG,2,1,KR,KR
886,KDM,ROX,0,2,KR,KR
884,IMiracle,KDM,0,2,KR,KR
877,JAG,KDM,2,0,KR,KR
872,CJE,KDM,2,1,KR,KR
868,KDM,KT,2,0,KR,KR
865,KDM,SKT,1,2,KR,KR
1410,KBM,KDM,0,1,BR,KR
1403,KDM,KBM,1,0,KR,BR
2363,KDM,SKT,3,1,KR,KR
2362,KDM,KTA,3,0,KR,KR
2361,KT,KDM,0,3,KR,KR
1659,KTA,KDM,3,2,KR,KR
1644,KDM,KT,1,1,KR,KR
1643,KDM,NBS,1,1,KR,KR
1642,KDM,JAF,1,1,KR,KR
1633,SSB,KDM,3,1,KR,KR
1632,CJB,KDM,2,3,KR,KR
1630,KDM,KT,3,2,KR,KR
1626,KDM,CJB,1,0,KR,KR
1625,IMiracle,KDM,0,2,KR,KR
1623,KDM,CJB,1,1,KR,KR
1621,KDM,Xenics Storm,2,0,KR,KR
1421,SSB,SSW,0,3,KR,KR
1401,FNC,SSB,0,1,EU,KR
1394,SSB,FNC,0,1,KR,EU
1665,KTA,SSB,3,2,KR,KR
1664,SSW,SSB,1,3,KR,KR
1662,SSB,JAG,3,0,KR,KR
1639,SSB,IMiracle,1,1,KR,KR
1637,SSB,SKT,2,0,KR,KR
1635,SSB,IM1,2,0,KR,KR
1631,SSW,SSB,1,3,KR,KR
1628,SSB,CJE,3,1,KR,KR
1619,SSB,NBS,2,0,KR,KR
1616,KT,SSB,1,1,KR,KR
1615,SSB,JAF,2,0,KR,KR
1426,CFG,YSO,0,1,US,US
2339,FNA,DD,0,2,EU,EU
1468,TGF,NDG,1,0,US,US
1466,TGF,PWN,1,0,US,US
1487,TGF,AKA,0,1,US,US
1438,TNT,CLR,0,1,US,US
1448,vVv,STN,1,0,US,US
1461,EFG,FFG,1,0,US,US
1465,NF,AOE,0,1,US,US
1464,AOE,GSG,1,0,US,US
1484,XVT,AOE,0,1,US,US
1467,NDG,FBC,1,0,US,US
1492,NDG,GF,0,1,US,US
