teamname1,teamname2,kill1,kill2,baronkill1,baronkill2,death1,death2,dragonkills1,dragonkills2,golds1,golds2,assists1,assists2,towerkills1,towerkills2,team_1_win,team_2_win,name_1_country,name_2_country,scheduleid,game_date
SKT,NBS,12,17,0,0,17,12,0,0,68183,75236,31,33,0,0,3,2,KR,KR,1363,2013-09-28
SS,KNG,12,8,0,0,8,12,0,0,57081,47932,38,20,0,0,3,2,CN,CN,1058,2015-04-16
LMQ,C9T,15,2,0,0,2,15,0,0,67600,46073,38,6,0,0,2,0,US,,1458,2014-03-31
SBE,ROX,6,26,0,1,26,6,0,2,42131,60972,18,73,1,9,0,2,KR,KR,11073,2015-08-13
SS,RNG,11,16,0,1,16,11,1,4,60024,69655,34,50,3,8,0,2,CN,CN,2527,2015-07-31
SKT,BBQ,9,21,0,1,21,9,0,4,63400,74600,18,45,3,9,0,2,KR,KR,12760,2015-11-13
KT,CJE,16,14,2,0,14,16,1,5,87200,79000,47,30,11,3,1,2,KR,KR,12759,2015-11-13
KDM,SSG,23,4,1,0,4,23,3,0,65857,51894,36,8,11,2,2,0,KR,KR,11060,2015-07-31
WE,EDG,3,9,0,1,9,3,1,2,36260,46647,4,26,3,9,0,2,CN,CN,2528,2015-07-31
IMiracle,CJE,12,4,1,0,4,12,4,0,66696,53040,25,10,8,1,1,2,KR,KR,11069,2015-08-08
EDG,IG,15,23,0,1,23,15,1,3,57217,67605,40,67,2,8,1,3,CN,CN,12290,2015-08-17
RG,DD,16,16,1,0,16,16,4,1,71318,61851,30,41,8,3,2,0,GB,EU,1294,2014-11-29
SSW,RYL,16,1,1,0,1,16,2,0,49326,30598,42,3,10,1,3,1,KR,CN,1423,2014-10-19
LGD,VG,12,1,0,0,1,12,2,0,38434,28837,28,2,3,0,3,1,CN,CN,12282,2015-08-13
CJE,SBE,3,15,0,2,15,3,2,4,70953,88137,10,38,6,9,2,1,KR,KR,11048,2015-07-18
IMiracle,DW,17,6,1,0,6,17,2,1,55059,41680,42,12,9,1,3,1,KR,KR,12341,2015-09-11
G2d,NF,4,13,0,1,13,4,1,2,45704,58739,9,38,3,9,1,2,EU,EU,1296,2014-11-30
