teamname1,teamname2,kill1,kill2,baronkill1,baronkill2,death1,death2,dragonkills1,dragonkills2,golds1,golds2,assists1,assists2,towerkills1,towerkills2,team_1_win,team_2_win,name_1_country,name_2_country,scheduleid,game_date
TL,DIG,14,20,2,1,20,14,1,4,82333,87026,46,54,9,10,0,1,US,US,1999,2015-06-22
GIA,UOL,15,13,1,0,13,15,4,1,67449,61738,33,32,9,8,0,1,EU,EU,2271,2015-07-24
NRG,DIG,8,2,1,0,2,8,2,1,50049,40286,23,7,10,4,1,0,US,US,13642,2016-02-21
S04,VIT,1,8,0,1,8,1,1,2,56649,67363,2,15,2,11,0,1,EU,EU,13712,2016-02-05
OMG,EP,34,10,0,0,10,34,0,0,64700,39500,59,25,10,4,1,0,CN,CN,14231,2013-08-02
VIT,ROC,1,8,0,1,8,1,1,2,52353,63490,3,15,4,11,0,1,EU,EU,13687,2016-01-15
PE,RYL,19,7,0,0,7,19,0,0,55900,37500,46,20,9,1,1,0,CN,CN,14232,2013-08-02
CW,UOL,4,19,0,1,19,4,0,4,51083,64989,14,53,3,11,0,1,DK,EU,2252,2015-07-10
TDK,P1,16,23,0,2,23,16,1,3,58345,66715,33,55,4,8,0,1,US,US,2036,2015-07-20
C9,NRG,14,3,1,0,3,14,4,0,59146,45588,43,9,11,3,1,0,US,US,13628,2016-02-08
GIA,FNC,1,14,0,0,14,1,0,0,34105,49039,3,29,1,11,0,1,EU,EU,13713,2016-02-05
WE,RYL,20,27,0,0,27,20,0,0,70800,76000,55,69,10,7,1,0,CN,CN,14174,2013-05-04
OG,G2,12,24,1,1,24,12,3,3,71735,81220,16,54,4,11,0,1,EU,EU,13747,2016-02-27
ROC,H2K,17,10,1,0,10,17,1,4,64251,59759,47,29,8,6,1,0,EU,EU,2255,2015-07-11
IG,LMQTC,30,24,0,0,24,30,0,0,64400,52100,59,54,8,3,1,0,CN,CN,14233,2013-08-02
CW,ROC,3,4,1,0,4,3,4,1,66540,61532,6,10,7,6,1,0,DK,EU,2272,2015-07-24
G2,GIA,11,1,0,0,1,11,2,0,42755,31239,28,4,9,4,1,0,EU,EU,13757,2016-03-12
WE,YG,15,3,0,0,4,15,0,0,43200,29200,24,4,9,3,1,0,CN,CN,14234,2013-08-02
IG,WOA,23,7,0,0,7,23,0,0,58600,39000,63,20,10,3,1,0,CN,CN,14175,2013-05-05
S04,GMB,15,15,1,2,15,15,4,4,100648,96088,44,30,11,9,1,0,EU,RU,2273,2015-07-24
WE,Wayi,25,15,0,0,15,25,0,0,78200,62200,65,39,9,3,1,0,CN,CN,14178,2013-05-05
OG,GIA,17,5,1,0,5,17,1,2,53177,41233,33,7,10,3,1,0,EU,EU,2250,2015-07-10
H2K,OG,12,17,0,2,17,12,1,4,67173,76341,35,43,4,10,0,1,EU,EU,2274,2015-07-24
WE,PE,17,6,0,0,6,17,0,0,48100,37600,51,17,8,3,1,0,CN,CN,14101,2013-03-23
RYL,OMG,5,8,0,0,8,5,0,0,39600,45500,7,22,3,8,0,1,CN,CN,14176,2013-05-05
RNG,SS,8,16,0,0,16,8,0,4,53139,63965,19,44,3,7,1,1,CN,CN,2473,2015-06-21
M17,CGE,14,5,1,0,5,14,4,0,72317,59656,35,14,9,3,2,0,HK,TW,13975,2016-03-19
H2K,FNC,9,18,0,2,18,9,4,0,55314,67065,23,47,5,10,0,1,EU,EU,2253,2015-07-10
GIA,S04,11,6,1,0,6,11,0,2,70811,65242,32,9,8,6,1,0,EU,EU,13737,2016-02-20
AFs,SSG,12,20,0,1,20,12,4,1,75332,80161,25,58,5,8,0,2,KR,KR,13870,2016-01-16
ROC,UOL,2,10,0,1,10,2,1,2,39349,53060,4,34,3,10,0,1,EU,EU,13715,2016-02-05
PE,OMG,5,19,0,0,19,5,0,0,31700,44500,13,47,2,8,0,1,CN,CN,14235,2013-08-03
VIT,UOL,16,6,1,0,6,16,3,0,58578,48673,52,12,10,3,1,0,EU,EU,13738,2016-02-20
C9,TDK,20,8,1,0,8,20,4,0,66864,54185,46,19,8,3,1,0,US,US,2003,2015-06-28
LMQTC,RYL,13,19,0,0,19,13,0,0,67400,56700,37,61,11,5,1,0,CN,CN,14236,2013-08-03
FOX,P1,14,6,1,0,6,14,2,3,66520,53604,36,17,9,2,1,0,US,US,13599,2016-01-17
M3,Newbee,25,6,1,0,6,25,3,1,63750,47208,58,8,11,2,1,1,CN,CN,2474,2015-06-21
ROC,S04,9,13,1,1,13,9,2,3,66556,75132,23,33,6,9,0,1,EU,EU,2254,2015-07-10
IG,KNG,19,12,1,2,12,19,3,3,76649,68627,48,38,9,7,2,0,CN,CN,2476,2015-06-21
EP,YG,8,10,0,0,10,8,0,0,32000,39300,19,28,1,11,0,1,CN,CN,14237,2013-08-03
JAG,CJE,20,11,1,0,11,20,3,3,78626,67938,48,21,11,3,2,0,KR,KR,2394,2015-06-17
FOX,DIG,8,16,0,4,16,9,2,7,123793,129102,24,42,8,10,1,0,US,US,13666,2016-03-13
S04,UOL,15,9,1,1,9,15,4,0,75946,73392,33,28,7,6,1,0,EU,EU,13758,2016-03-12
SKT,IMiracle,14,3,1,0,3,14,3,0,54827,38554,21,8,11,0,2,0,KR,KR,2396,2015-06-18
GIA,H2K,7,20,2,1,20,7,1,4,83762,87999,19,40,8,9,0,1,EU,EU,13748,2016-02-27
ROX,Anarchy,13,6,2,0,6,13,4,0,69453,57111,40,15,10,2,2,0,KR,,11051,2015-07-22
WE,IG,21,5,0,0,5,21,0,0,43900,30600,40,6,8,2,1,0,CN,CN,14238,2013-08-03
FNC,G2,19,23,1,0,23,20,1,3,66316,67663,49,66,7,5,1,0,EU,EU,13735,2016-02-19
TPA,XG,13,0,1,0,0,13,2,1,60335,40778,30,0,11,2,2,0,TW,TW,13950,2016-02-04
OG,H2K,6,18,1,1,18,6,2,2,69459,76530,19,56,5,10,0,1,EU,EU,13739,2016-02-20
IG,LM,33,11,0,0,11,33,0,0,61100,47800,81,24,9,4,1,0,CN,CN,14181,2013-05-10
KDM,LZ,4,8,0,2,8,4,4,3,87793,100539,11,24,4,9,0,2,KR,KR,13893,2016-02-05
YG,RYL,22,11,0,0,11,22,0,0,53800,41300,51,21,10,0,1,0,CN,CN,14239,2013-08-04
DIG,REN,14,5,1,1,5,14,1,4,87138,79876,39,15,9,6,1,0,US,US,13607,2016-01-24
FNC,UOL,11,16,0,3,16,11,2,3,83026,91249,30,36,5,11,0,1,EU,EU,13699,2016-01-23
REN,TSM,18,28,1,2,28,18,2,2,72362,81152,42,79,7,10,0,1,US,US,13629,2016-02-08
P1,REN,15,23,0,1,23,15,1,4,63139,73011,38,74,4,10,0,1,US,US,13672,2016-03-20
EP,LMQTC,19,9,0,0,9,19,0,0,63900,49300,57,20,11,4,1,0,CN,CN,14240,2013-08-04
UOL,SPY,16,3,1,0,4,16,0,2,67614,53440,44,10,11,4,1,0,EU,EU,13749,2016-02-27
IG,OMG,17,25,0,0,25,17,0,0,36300,52600,40,53,1,9,0,1,CN,CN,14241,2013-08-04
P1,NRG,15,8,2,0,8,15,4,1,72215,58864,42,22,10,3,1,0,US,US,13657,2016-02-29
SPY,FNC,13,0,0,0,0,13,4,0,64129,50733,41,0,9,4,1,0,EU,EU,13740,2016-02-20
C9,CLG,23,22,2,0,22,23,3,2,75554,80376,39,59,5,11,0,1,US,US,13658,2016-02-29
SPY,ROC,13,2,1,0,2,13,1,2,67446,56313,38,4,9,3,1,0,EU,EU,13700,2016-01-23
TL,TSM,24,4,1,0,4,24,3,0,61484,47115,58,10,10,2,1,0,US,US,13659,2016-02-29
FNC,VIT,13,16,0,2,16,13,5,1,70799,78025,35,59,6,9,0,1,EU,EU,13759,2016-03-12
WE,PE,21,27,0,0,27,21,0,0,62200,72200,54,77,5,9,0,1,CN,CN,14242,2013-08-04
G2,FNC,12,6,0,0,6,12,1,1,53571,42529,26,12,11,2,1,0,EU,EU,13704,2016-01-29
REN,DIG,13,17,1,1,19,15,2,3,85517,80954,44,40,9,7,1,0,US,US,13660,2016-02-29
FNC,ROC,13,8,1,0,8,13,5,0,69321,60441,35,22,9,4,1,0,EU,EU,13750,2016-02-27
VIT,H2K,12,13,2,1,13,12,5,3,111738,102186,29,35,10,4,1,0,EU,EU,13736,2016-02-19
SKT,LZ,6,7,0,1,7,6,1,3,63768,70621,13,14,7,9,0,2,KR,KR,13900,2016-02-18
ROC,G2,2,14,0,1,14,2,0,3,41300,54828,6,40,2,8,0,1,EU,EU,13741,2016-02-20
KT,SKT,19,13,0,1,13,19,2,3,83522,80960,48,27,9,6,2,0,KR,KR,14679,2016-04-06
G2,S04,12,7,0,0,7,12,1,3,65428,60414,32,14,8,6,1,0,EU,EU,13742,2016-02-26
P1,CLG,3,16,0,0,16,3,0,1,34779,47278,5,25,2,9,0,1,US,US,13630,2016-02-08
BBQ,TSM,16,23,0,0,23,16,0,3,65600,71300,43,58,6,9,1,0,KR,US,14351,2016-03-04
UOL,FNC,19,11,3,0,11,19,2,3,88114,76669,59,25,10,5,1,0,EU,EU,13728,2016-02-13
EP,RYL,9,20,0,0,20,9,0,0,31200,42800,16,41,3,8,0,1,CN,CN,14243,2013-08-09
CLG,P1,14,4,1,0,4,14,3,0,54305,38394,38,13,11,3,1,0,US,US,13645,2016-02-21
IG,PE,21,25,0,0,25,21,0,0,58600,61900,61,70,4,6,0,1,CN,CN,14244,2013-08-09
OG,RNG,4,16,0,1,16,4,1,2,48000,55400,8,39,5,7,0,1,EU,CN,14352,2016-03-04
UOL,S04,14,2,1,0,2,14,2,0,55874,38180,31,7,11,2,1,0,EU,EU,13705,2016-01-29
SPY,H2K,2,15,0,1,15,2,0,2,38322,53785,3,41,3,10,0,1,EU,EU,13760,2016-03-12
WE,OMG,4,9,0,0,9,4,0,0,32800,49300,10,21,0,11,0,1,CN,CN,14152,2013-04-21
SPY,G2,14,15,0,2,16,14,1,4,66942,75296,27,47,6,11,0,1,EU,EU,13766,2016-03-18
H2K,G2,12,20,0,1,20,12,1,2,67699,77754,28,55,6,9,0,1,EU,EU,13729,2016-02-13
G2,H2K,3,13,0,1,13,3,2,2,54053,65936,8,35,3,11,0,1,EU,EU,13701,2016-01-23
C9,TSM,5,13,1,0,13,5,1,1,49436,52724,8,36,7,10,0,1,US,US,13614,2016-01-31
H2K,VIT,8,2,0,0,2,8,2,1,67327,58604,23,1,9,2,1,0,EU,EU,13706,2016-01-29
GIA,VIT,8,17,0,1,17,8,0,3,54260,67619,21,53,2,9,0,1,EU,EU,13743,2016-02-26
BBQ,RNG,6,17,0,0,17,6,0,3,49000,60700,11,43,2,8,0,1,KR,CN,14354,2016-03-04
RYL,OMG,19,9,0,0,9,19,0,0,43700,33600,51,25,8,3,1,0,CN,CN,14091,2013-03-17
WE,OMG,8,18,0,0,18,8,0,0,34700,45300,23,36,3,6,0,1,CN,CN,14245,2013-08-09
OMG,PE,24,5,0,0,5,24,0,0,50700,31500,69,19,9,1,1,0,CN,CN,14104,2013-03-24
TL,FOX,13,17,0,2,17,13,2,4,101549,104704,31,50,6,8,0,1,US,US,13646,2016-02-21
RYL,LM,11,18,0,0,18,11,0,0,46100,55200,14,36,4,8,0,1,CN,CN,14105,2013-03-24
DIG,FOX,18,10,0,2,10,18,3,2,77871,75887,53,23,8,6,1,0,US,US,13631,2016-02-08
WE,IG,13,18,0,0,18,13,0,0,43400,53500,28,52,4,8,0,1,CN,CN,14106,2013-03-24
IG,WOA,28,10,0,0,10,28,0,0,51400,31200,50,24,11,0,1,0,CN,CN,14093,2013-03-17
M3,OMG,6,21,0,1,21,6,0,2,40483,59031,15,51,2,11,0,2,CN,CN,13520,2016-02-21
IG,Wayi,24,6,0,0,6,24,0,0,48600,32400,51,6,8,1,1,0,CN,CN,14198,2013-05-18
YG,LMQTC,9,25,0,0,25,9,0,0,389000,563000,21,63,1,9,0,1,CN,CN,14246,2013-08-09
WE,WOA,24,2,0,0,2,24,0,0,39800,21000,43,3,9,0,1,0,CN,CN,14196,2013-05-18
YG,IG,24,37,0,0,37,24,0,0,53600,68800,37,81,2,9,0,1,CN,CN,14248,2013-08-10
ROC,OG,16,10,1,2,10,16,4,1,95853,97573,36,14,9,11,0,1,EU,EU,13761,2016-03-12
IG,OMG,37,26,0,0,26,37,0,0,91000,86600,88,68,9,7,1,0,CN,CN,14195,2013-05-17
WE,Wayi,33,15,0,0,15,33,0,0,69800,53200,85,41,10,3,1,0,CN,CN,14094,2013-03-17
WE,LM,20,6,0,0,6,20,0,0,64500,48200,37,6,9,4,1,0,CN,CN,14107,2013-03-29
OMG,PE,24,10,0,0,10,24,0,0,74700,58000,67,30,9,3,1,0,CN,CN,14162,2013-04-27
RYL,WOA,20,3,0,0,3,20,0,0,45100,27700,42,8,9,1,1,0,CN,CN,14108,2013-03-29
WE,LM,17,15,0,0,15,17,0,0,77900,73700,39,44,8,7,1,0,CN,CN,14192,2013-05-17
EP,WE,11,22,0,0,22,11,0,0,52300,66200,33,60,3,11,0,1,CN,CN,14249,2013-08-10
RYL,WOA,21,20,0,0,20,21,0,0,57400,46100,46,43,9,1,1,0,CN,CN,14193,2013-05-17
RYL,OMG,17,26,0,0,26,17,0,0,45400,62800,35,70,2,10,0,1,CN,CN,14250,2013-08-10
SK,FNC,6,25,0,1,25,6,1,1,43913,62248,9,55,6,11,0,1,EU,EU,2270,2015-07-24
OMG,PE,11,17,0,0,17,11,0,0,63800,76100,28,47,4,11,0,1,CN,CN,14191,2013-05-12
DIG,TSM,1,10,0,2,10,1,1,2,45148,57585,4,32,2,11,0,1,US,US,2039,2015-07-20
EP,IG,7,22,0,0,22,7,0,0,35800,52700,8,40,4,11,0,1,CN,CN,14251,2013-08-11
IG,OMG,10,19,0,0,19,10,0,0,51900,61700,19,56,4,10,0,1,CN,CN,14110,2013-03-29
XG,AHQ,18,15,0,1,15,18,2,2,65692,74826,36,33,2,8,0,2,TW,TW,13952,2016-02-05
XG,FW,4,19,0,1,19,5,0,3,42509,55924,6,36,1,7,0,2,TW,TW,13965,2016-03-10
YG,PE,22,7,0,0,8,22,0,0,51400,36100,57,18,8,3,1,0,CN,CN,14252,2013-08-11
LMQTC,OMG,7,16,0,0,16,7,0,0,39100,56100,17,39,2,10,0,1,CN,CN,14253,2013-08-11
S04,ROC,13,2,1,0,2,13,3,1,59758,49762,28,5,8,2,1,0,EU,EU,13730,2016-02-13
RYL,LM,21,7,0,0,7,21,0,0,56300,41900,52,16,9,3,1,0,CN,CN,14188,2013-05-12
RYL,WE,17,7,0,0,7,17,0,0,51900,37000,49,17,8,2,1,0,CN,CN,14254,2013-08-11
IMT,TSM,20,6,1,0,6,20,1,1,58686,45864,57,14,8,3,1,0,US,US,13674,2016-03-20
H2K,FNC,11,13,2,0,13,11,1,1,73104,60367,31,36,9,2,1,0,EU,EU,13744,2016-02-26
WE,PE,17,5,0,0,5,17,0,0,45700,33900,44,13,7,3,1,0,CN,CN,14158,2013-04-26
RYL,LM,25,5,0,0,5,25,0,0,42800,29000,48,7,8,2,0,1,CN,CN,14157,2013-04-26
WE,WOA,38,7,0,0,7,38,0,0,46200,31500,59,9,5,2,1,0,CN,CN,14111,2013-03-30
IG,RYL,21,6,0,0,6,21,0,0,51200,36900,47,14,11,1,1,0,CN,CN,14156,2013-04-26
DIG,TL,9,15,0,2,15,9,0,3,61408,68783,14,31,4,10,0,1,US,US,13675,2016-03-20
RYL,PE,19,24,0,0,24,19,0,0,72000,84700,54,57,6,11,0,1,CN,CN,14112,2013-03-30
IG,Wayi,24,6,0,0,6,24,0,0,52300,33300,58,11,10,1,1,0,CN,CN,14113,2013-03-30
OMG,WOA,21,9,0,0,9,22,0,0,61700,48100,55,20,10,2,1,0,CN,CN,14155,2013-04-26
OMG,LM,17,8,0,0,8,17,0,0,55800,41900,47,16,10,3,1,0,CN,CN,14114,2013-03-30
UOL,H2K,17,20,1,2,20,17,2,2,87125,93305,32,38,6,10,0,1,EU,EU,13722,2016-02-12
EP,PE,28,35,0,0,35,28,0,0,67300,76800,67,84,7,10,0,1,CN,CN,14256,2013-08-16
NRG,TL,20,10,2,0,11,20,2,0,69644,54426,55,30,11,2,1,0,US,US,13668,2016-03-14
RYL,IG,26,14,0,0,14,26,0,0,68000,52700,47,32,11,2,1,0,CN,CN,14257,2013-08-16
KT,SBE,16,5,1,0,5,16,4,0,69703,56601,32,8,8,2,2,0,KR,KR,13868,2016-01-15
LMQTC,WE,18,7,0,0,7,18,0,0,45100,36800,46,17,8,2,1,0,CN,CN,14258,2013-08-16
VIT,S04,14,3,2,0,3,14,3,1,81630,61112,30,8,10,2,1,0,EU,EU,13751,2016-02-27
TSM,REN,3,13,0,1,13,3,1,2,46615,56821,9,37,4,8,0,1,US,US,13669,2016-03-14
C9,FOX,15,0,1,0,0,15,3,0,66821,48635,37,0,9,2,1,0,US,US,13676,2016-03-20
IG,WOA,16,5,0,0,5,16,0,0,49700,32100,23,15,10,4,1,0,CN,CN,14148,2013-04-20
WE,IG,13,5,0,0,5,13,0,0,63200,42200,29,12,10,1,1,0,CN,CN,14190,2013-05-12
RYL,Wayi,21,12,0,0,12,21,0,0,51300,33800,42,25,11,1,1,0,CN,CN,14183,2013-05-10
FNC,GIA,14,2,1,0,2,14,2,0,51200,35593,26,2,9,0,1,0,EU,EU,13752,2016-03-11
SPY,GIA,8,3,0,0,3,8,2,1,56146,49572,18,7,8,4,1,0,EU,EU,13731,2016-02-13
RYL,OMG,3,12,0,0,12,3,0,0,48300,56300,7,39,3,11,0,1,CN,CN,14150,2013-04-20
JAG,IMiracle,10,5,2,0,5,10,2,4,78694,64675,24,14,10,3,2,0,KR,KR,11052,2015-07-23
FNC,S04,16,4,1,0,4,16,2,1,61260,44916,51,15,11,3,1,0,EU,EU,13723,2016-02-12
JAG,Anarchy,2,13,0,2,13,2,2,2,53992,70392,4,44,2,9,0,2,KR,,11065,2015-08-05
DIG,IMT,20,16,1,1,16,20,2,3,90356,94322,55,57,9,10,0,1,US,US,13670,2016-03-14
IG,RYL,24,23,0,0,23,25,0,0,68200,63600,52,62,11,5,1,0,CN,CN,14187,2013-05-11
RYL,PE,26,8,0,0,8,26,0,0,47500,31900,68,20,7,1,1,0,CN,CN,14260,2013-08-17
LMQTC,EP,16,9,0,0,9,16,0,0,53900,48000,34,18,6,3,1,0,CN,CN,14268,2013-08-23
G2,FW,12,26,2,1,26,12,2,3,81881,84212,22,63,6,9,0,1,EU,TW,15559,2016-05-04
LMQTC,IG,12,25,0,0,25,12,0,0,34100,54900,23,42,0,11,0,1,CN,CN,14261,2013-08-17
WE,PE,22,5,0,0,5,22,0,0,53600,39900,48,10,8,3,1,0,CN,CN,14186,2013-05-11
BBQ,ROX,5,14,0,1,14,5,0,3,43677,56589,14,39,1,9,0,2,KR,KR,16915,2016-06-03
SKT,SUP,22,1,0,1,1,22,3,0,60605,43435,43,2,8,1,1,0,KR,TR,15560,2016-05-04
IG,PE,12,7,0,0,7,12,0,0,51400,41800,19,11,7,2,1,0,CN,CN,14145,2013-04-19
GIA,G2,12,15,0,2,15,12,2,1,57180,65174,25,32,7,9,0,1,EU,EU,13692,2016-01-22
OMG,Wayi,26,10,0,0,10,26,0,0,51600,36300,65,29,11,2,1,0,CN,CN,14144,2013-04-19
OMG,WOA,19,2,0,0,2,19,0,0,51500,30300,26,3,9,0,1,0,CN,CN,14185,2013-05-11
OMG,Wayi,26,7,0,0,7,26,0,0,54100,33200,56,19,0,0,1,0,CN,CN,13858,2013-03-16
SPY,OG,8,20,0,1,20,8,1,3,70953,82288,18,49,3,11,0,1,EU,EU,13745,2016-02-26
IG,PE,21,15,0,0,15,21,0,0,58300,51000,59,36,9,4,1,0,CN,CN,13859,2013-03-16
ROC,S04,14,19,0,2,19,14,2,3,83242,88703,35,64,6,8,0,1,EU,EU,13693,2016-01-22
TSM,DIG,15,2,0,0,2,15,2,1,56767,41270,31,3,10,1,1,0,US,US,13609,2016-01-25
WE,RYL,21,14,0,0,14,21,0,0,70500,58500,57,28,9,5,1,0,CN,CN,13860,2013-03-16
WE,OMG,19,9,0,0,9,19,0,0,63300,50800,55,27,10,3,1,0,CN,CN,14095,2013-03-22
HKE,FW,9,20,1,1,20,9,2,2,57772,64260,20,58,3,7,1,1,HK,TW,13953,2016-02-05
H2K,S04,19,2,0,0,2,19,2,1,66025,52034,61,3,9,2,1,0,EU,EU,13767,2016-03-19
RYL,Wayi,26,17,0,0,17,26,0,0,61700,51600,67,38,9,3,1,0,CN,CN,14096,2013-03-22
UOL,OG,13,12,0,1,12,13,0,3,67718,74935,33,30,5,10,0,1,EU,EU,13754,2016-03-11
OG,SPY,12,4,2,0,4,12,3,1,81203,67844,27,10,11,3,1,0,EU,EU,13724,2016-02-12
OMG,WE,15,18,0,0,18,15,0,0,83400,70600,38,50,10,4,1,0,CN,CN,14271,2013-08-24
VIT,G2,14,21,0,2,21,14,2,3,77116,82026,34,53,6,9,0,1,EU,EU,13755,2016-03-11
KDM,JAG,3,11,0,2,11,3,1,4,58903,75488,8,29,1,10,0,2,KR,KR,13873,2016-01-20
YG,WE,8,21,0,0,21,8,0,0,39300,54800,18,47,4,10,0,1,CN,CN,14262,2013-08-17
SSG,MVP,7,10,1,2,10,7,3,2,90701,85515,20,22,10,6,2,0,KR,KR,16916,2016-06-03
IG,PE,21,10,0,0,10,21,0,0,60700,50300,55,12,11,6,1,0,CN,CN,14117,2013-03-31
OG,UOL,17,3,1,0,3,17,3,0,53954,36690,40,4,11,0,1,0,EU,EU,13694,2016-01-22
WE,RYL,22,12,0,0,12,22,0,0,84700,76600,72,39,11,4,1,0,CN,CN,14118,2013-03-31
REN,CLG,8,19,0,1,19,8,0,3,48628,60383,16,45,3,10,0,1,US,US,13647,2016-02-22
RYL,OMG,26,9,0,0,9,26,0,0,65600,52500,76,20,11,2,1,0,CN,CN,14119,2013-04-05
FOX,CLG,9,14,1,0,14,9,1,5,68596,72576,26,39,4,9,0,1,US,US,13671,2016-03-14
G2,VIT,7,13,0,1,13,7,0,2,52206,63295,16,30,3,11,0,1,EU,EU,13725,2016-02-12
S04,SPY,11,13,1,1,13,11,5,2,82938,86650,15,38,7,10,0,1,EU,EU,13756,2016-03-11
WE,WOA,5,18,0,0,18,5,0,0,46400,64200,7,36,3,7,0,1,CN,CN,14168,2013-05-03
G2,SPY,18,4,1,0,4,18,2,0,53072,34402,39,14,11,2,1,0,EU,EU,13717,2016-02-06
KDM,KT,6,10,1,0,10,6,1,2,68503,69975,11,24,5,8,0,2,KR,KR,13888,2016-02-03
IG,WOA,37,8,0,0,8,37,0,0,56800,32600,65,21,10,0,1,0,CN,CN,14121,2013-04-05
WE,Wayi,24,3,0,0,3,24,0,0,48000,29200,41,7,10,2,1,0,CN,CN,14122,2013-04-05
IG,SAT,22,19,0,2,19,22,1,4,70308,77916,44,43,3,11,2,1,CN,CN,17229,2016-06-03
WE,OMG,25,12,0,0,12,25,0,0,69900,57200,69,20,9,4,1,0,CN,CN,14123,2013-04-06
SPY,ROC,23,18,1,0,18,23,3,1,79796,72609,63,43,7,4,1,1,EU,EU,17024,2016-06-03
GIA,UOL,11,19,0,2,19,11,0,3,61838,76752,25,35,4,11,0,1,EU,EU,13688,2016-01-16
OMG,PE,18,6,0,0,6,18,0,0,47900,32500,44,8,9,2,1,0,CN,CN,14263,2013-08-18
KDM,AFs,7,11,0,1,11,10,0,4,47880,63976,11,29,3,11,0,2,KR,KR,13901,2016-02-18
S04,H2K,12,22,1,0,22,12,1,2,64383,65169,19,62,6,8,0,1,EU,EU,13718,2016-02-06
RYL,Wayi,29,11,0,0,11,29,0,0,53100,32700,79,32,10,2,1,0,CN,CN,14124,2013-04-06
SUP,RNG,11,26,0,1,26,11,1,3,60559,76988,14,51,3,9,0,1,TR,CN,16085,2016-05-04
RYL,LMQTC,23,11,0,0,11,23,0,0,56400,40400,58,28,11,0,0,1,CN,CN,14264,2013-08-18
IG,LM,37,16,0,0,16,37,0,0,56700,47200,37,26,8,3,1,0,CN,CN,14126,2013-04-06
YG,EP,32,22,0,0,22,32,0,0,62700,44300,59,57,11,1,1,0,CN,CN,14265,2013-08-18
VIT,FNC,10,3,1,0,3,10,3,0,53905,41448,22,2,11,2,1,0,EU,EU,13689,2016-01-16
IG,WE,15,29,0,0,29,15,0,0,55600,69500,44,76,3,11,0,1,CN,CN,14266,2013-08-18
OMG,WOA,20,4,0,0,4,20,0,0,63300,40000,43,8,11,1,1,0,CN,CN,14128,2013-04-07
WE,PE,21,4,0,0,4,21,0,0,55800,37800,55,9,10,1,1,0,CN,CN,14129,2013-04-07
RYL,EP,29,39,0,0,39,29,0,0,75500,82400,56,86,7,11,0,1,CN,CN,14273,2013-08-24
Newbee,IG,29,34,0,2,34,29,2,4,80300,91100,63,85,4,10,0,2,CN,CN,12301,2015-09-04
IG,RYL,8,19,0,0,19,8,0,0,32600,40200,16,51,1,7,0,1,CN,CN,14130,2013-04-07
NRG,CLG,8,12,1,0,12,8,1,4,70991,79079,13,20,6,9,0,1,US,US,13633,2016-02-14
C9,TL,15,6,1,0,6,15,2,1,56096,45715,45,13,9,3,1,0,US,US,13634,2016-02-14
MSE,CGE,13,9,0,0,9,13,2,0,53207,42356,28,23,9,2,2,0,TW,TW,13981,2016-03-26
LMQTC,YG,21,24,0,0,24,21,0,0,61600,72300,48,54,4,9,0,1,CN,CN,14274,2013-08-24
OMG,RYL,5,16,0,0,16,5,0,0,32700,44700,6,37,2,11,0,1,CN,CN,14275,2013-08-25
ROC,GIA,15,17,0,2,17,15,1,2,64586,67320,35,51,6,6,0,1,EU,EU,13726,2016-02-12
FNC,H2K,8,6,2,0,6,8,4,0,77496,70043,29,16,9,7,1,0,EU,EU,13696,2016-01-22
SKT,CLG,10,3,0,0,3,10,3,1,61000,49500,19,6,8,4,1,0,KR,US,14358,2016-03-05
P1,TSM,6,11,0,1,11,6,1,2,46009,59635,19,27,4,11,0,1,US,US,13635,2016-02-14
DIG,TSM,13,8,2,0,8,13,1,2,68112,59738,39,18,10,5,1,0,US,US,13648,2016-02-22
OMG,PE,6,23,0,0,23,6,0,0,48900,63900,11,54,3,8,0,1,CN,CN,14132,2013-04-12
UOL,VIT,24,13,1,2,13,24,4,2,90122,85949,64,33,11,5,1,0,EU,EU,13719,2016-02-06
H2K,OG,16,6,1,0,6,16,1,2,56389,42703,42,16,10,2,1,0,EU,EU,13690,2016-01-16
UOL,ROC,9,14,0,1,14,9,1,2,62455,72385,27,32,3,11,0,1,EU,EU,13746,2016-02-26
IMT,DIG,15,7,1,0,7,15,0,1,57413,40902,32,11,10,2,1,0,US,US,13636,2016-02-14
IG,YG,30,36,0,0,36,30,0,0,71500,75600,62,92,9,8,0,1,CN,CN,14277,2013-08-25
SKT,RNG,7,23,1,1,23,7,2,5,103309,112796,11,51,5,10,0,1,KR,CN,16088,2016-05-05
RYL,YG,19,1,0,0,1,19,0,0,37400,22600,26,2,8,1,0,1,CN,CN,14267,2013-08-23
RYL,LM,29,6,0,0,6,29,0,0,48800,32800,61,9,11,2,1,0,CN,CN,14133,2013-04-12
FNC,Newbee,4,12,0,0,12,4,1,3,66000,75000,13,30,3,8,0,1,EU,CN,14359,2016-03-05
S04,OG,11,13,1,1,13,11,4,0,63179,71703,24,24,4,10,0,1,EU,EU,13732,2016-02-19
DP,DFM,18,5,1,0,5,18,3,1,64401,48468,58,12,10,2,1,0,TR,JP,12315,2015-08-27
OG,GIA,15,4,1,0,4,15,3,0,52773,37691,22,4,9,2,1,0,EU,EU,13720,2016-02-06
SKT,Newbee,26,6,1,0,6,26,3,1,72600,55800,69,14,9,5,1,0,KR,CN,14361,2016-03-05
WE,EP,25,4,0,0,4,25,0,0,55500,35700,62,10,10,3,1,0,CN,CN,14278,2013-08-25
